Russian Federation,521.85
United States,449.78
Canada,149.64
Iran Islamic Republic of,103.72
Norway,78.06
Algeria,73.58
United Kingdom,64.89
Indonesia,62.39
China People's Republic of,57.93
Turkmenistan,56.08
Qatar,55.05
Netherlands,54.43
Malaysia,54.29
Uzbekistan,53.08
Saudi Arabia,49.57
Egypt,49
Mexico,42.97
United Arab Emirates,40.73
Argentina,38.91
Australia,38.26
Trinidad and Tobago,33.85
Nigeria,28.91
Pakistan,27.15
India,26.06
Oman,21.14
Bolivarian Republic of Venezuela,20.34
Thailand,20.32
Kazakhstan,18.73
Ukraine,15.86
Germany,14.85
Libya,13.44
Bangladesh,13.18
Plurinational State of Bolivia,11.76
Myanmar,11.41
Brunei Darussalam,10.83
Kuwait,9.85
Bahrain,9.26
Romania,9.23
Brazil,9.16
Azerbaijan,9.05
Denmark,8.27
Italy,7.95
Colombia,6.13
Viet Nam,5.94
Syrian Arab Republic,4.86
Poland,3.9
New Zealand,3.64
Japan,3.58
Philippines,3.03
Peru,2.6
Croatia,2.36
Mozambique,2.25
Israel,2.22
Hungary,2
Tunisia,1.93
Iraq,1.92
Austria,1.59
Chile,1.49
South Africa,1.46
Côte d'Ivoire,1.26
Cuba,0.97
France,0.92
Turkey,0.74
Angola,0.68
Tanzania United Republic of,0.45
Ecuador,0.39
Chinese Taipei,0.33
Korea,0.32
Ireland,0.31
Cameroon,0.3
Bulgaria,0.24
Serbia*,0.2
Belarus,0.17
Jordan,0.16
Czech Republic,0.16
Gabon,0.14
Slovak Republic,0.11
Morocco,0.05
Greece,0.02
Spain,0.02
Republic of the Congo,0.02
Tajikistan,0.01
Georgia,0.01
Kyrgyzstan,0.01
Albania,0.01
Senegal,0.01
,2503.72
