Russian Federation,515.69
United States,421.44
Canada,154.1
Iran Islamic Republic of,83.44
United Kingdom,79.37
Algeria,75.59
Norway,75.02
Indonesia,65.56
Netherlands,56.25
Malaysia,55.35
Turkmenistan,51.3
Uzbekistan,49.1
Saudi Arabia,45.95
Egypt,42.62
China People's Republic of,41.26
United Arab Emirates,40.05
Argentina,39.91
Qatar,39.85
Mexico,38.45
Australia,31.35
Trinidad and Tobago,26.49
India,25.93
Pakistan,25.64
Nigeria,19.77
Bolivarian Republic of Venezuela,19.36
Thailand,18.5
Oman,17.92
Ukraine,17.43
Kazakhstan,15.82
Germany,14.33
Bangladesh,10.81
Myanmar,10.3
Plurinational State of Bolivia,10.26
Kuwait,10.04
Brunei Darussalam,10
Italy,9.88
Romania,9.7
Denmark,9.38
Libya,9.23
Brazil,9.23
Bahrain,8.35
Colombia,6.12
Viet Nam,5.99
Syrian Arab Republic,4.94
Azerbaijan,4.64
Poland,3.88
New Zealand,3.23
Japan,2.89
Philippines,2.7
Hungary,2.33
Tunisia,1.99
Mozambique,1.87
Croatia,1.86
South Africa,1.78
Peru,1.62
Chile,1.61
Iraq,1.49
Austria,1.4
Israel,1.31
Côte d'Ivoire,1.25
France,0.91
Turkey,0.74
Cuba,0.59
Angola,0.53
Ireland,0.46
Chinese Taipei,0.44
Korea,0.44
Bulgaria,0.38
 United Republic of,0.33
Ecuador,0.28
Serbia*,0.23
Belarus,0.19
Jordan,0.18
Czech Republic,0.15
Spain,0.14
Slovak Republic,0.13
Gabon,0.12
Morocco,0.03
Georgia,0.02
Kyrgyzstan,0.02
Tajikistan,0.02
Greece,0.02
Republic of the Congo,0.02
Senegal,0.01
Albania,0.01
,2369.31
