Russian Federation,480.41
United States,434.46
Canada,130.22
United Kingdom,63.7
Netherlands,60.85
Indonesia,57.13
Algeria,46.64
Uzbekistan,39.59
Iran Islamic Republic of,35.64
Turkmenistan,29.07
Norway,28.25
United Arab Emirates,26.25
Australia,24.99
Saudi Arabia,24.77
Malaysia,24.61
Mexico,23.6
Argentina,21.57
Bolivarian Republic of Venezuela,20.15
India,17.33
Italy,16.34
Ukraine,15.23
Germany,15.1
China People's Republic of,15.01
Romania,14.44
Pakistan,13.15
Egypt,10.28
Brunei Darussalam,9.35
Thailand,8.71
Kuwait,7.58
Qatar,7.34
Bangladesh,5.49
Bahrain,5.46
Azerbaijan,5.38
Libya,5.18
Trinidad and Tobago,5.03
Kazakhstan,4.79
Denmark,4.7
Nigeria,4.4
Brazil,4.14
Oman,3.84
New Zealand,3.83
Hungary,3.79
Colombia,3.62
Poland,3.17
Plurinational State of Bolivia,3.06
France,2.79
Iraq,2.59
Ireland,2.25
Syrian Arab Republic,2.24
Japan,2.05
South Africa,1.71
Croatia,1.61
Chile,1.43
Austria,1.27
Myanmar,1.22
Chinese Taipei,0.75
Serbia*,0.68
Angola,0.46
Peru,0.38
Spain,0.38
Slovak Republic,0.26
Belarus,0.22
Jordan,0.22
Czech Republic,0.2
Viet Nam,0.19
Turkey,0.15
Tunisia,0.13
Gabon,0.11
Senegal,0.05
Côte d'Ivoire,0.04
Greece,0.04
Bulgaria,0.04
Kyrgyzstan,0.03
Tajikistan,0.03
Albania,0.02
Israel,0.02
Slovenia,0.02
Morocco,0.01
Georgia,0.01
Cuba,0.01
,1811.25
