United States,416.91
Canada,63.12
Netherlands,54.44
Romania,33.27
United Kingdom,31.76
Mexico,24.95
Norway,22.11
Algeria,17.77
Indonesia,15.85
Saudi Arabia,14.97
Germany,14.83
Bolivarian Republic of Venezuela,11.85
Italy,11.81
ChinaPeople's Republic of,10
Australia,9.63
Argentina,9.27
United Arab Emirates,7.96
Brunei Darussalam,7.94
Pakistan,6.13
France,5.52
Iran Islamic Republic of,5.43
Hungary,5.38
Qatar,4.1
Poland,3.72
Kuwait,3.37
Trinidad and Tobago,3.26
Bahrain,2.81
Colombia,2.8
Libya,2.74
India,2.45
Plurinational State of Bolivia,2.4
Malaysia,2.38
Nigeria,2.13
Egypt,1.98
Japan,1.8
New Zealand,1.72
Ireland,1.65
Bangladesh,1.44
Austria,1.14
Chinese Taipei,1.14
Brazil,1.04
Thailand,1.04
Chile,0.74
Peru,0.57
Iraq,0.56
Oman,0.45
Tunisia,0.42
Myanmar,0.41
Czech Republic,0.34
Albania,0.32
Slovak Republic,0.19
Gabon,0.1
Angola,0.08
Morocco,0.07
Greece,0.07
Bulgaria,0.07
Israel,0.06
Syrian Arab Republic,0.04
Belgium,0.03
Turkey,0.03
Denmark,0.03
Viet Nam,0.02
Cuba,0.01
Ghana,0
,850.62
