Russian Federation,460.75
United States,440.97
Canada,137.64
United Kingdom,77.28
Indonesia,62.56
Netherlands,60.99
Algeria,57.03
Uzbekistan,41.73
Norway,41.01
Iran Islamic Republic of,39.38
Malaysia,34.95
United Arab Emirates,30.43
Mexico,28.13
Saudi Arabia,26.55
Australia,25.55
Argentina,24.97
Bolivarian Republic of Venezuela,23.15
India,20.32
China People's Republic of,18.99
Germany,16.07
Italy,15.78
Ukraine,15.2
Turkmenistan,14.03
Pakistan,13.63
Thailand,12.51
Romania,11.9
Egypt,10.9
Qatar,10.56
Brunei Darussalam,9.28
Kuwait,7.57
Denmark,7.05
Kazakhstan,6.57
Bahrain,6.22
Trinidad and Tobago,6.03
Bangladesh,5.79
Libya,5.37
Brazil,5.15
Colombia,4.88
Azerbaijan,4.83
New Zealand,4.68
Oman,4.66
Nigeria,4.66
Syrian Arab Republic,3.69
Hungary,3.36
Poland,3.2
Plurinational State of Bolivia,2.67
Iraq,2.49
France,2.13
Japan,2.12
Ireland,1.91
Tunisia,1.57
Chile,1.43
Myanmar,1.43
Croatia,1.4
South Africa,1.38
Austria,1.23
Chinese Taipei,0.69
Côte d'Ivoire,0.61
Viet Nam,0.5
Serbia*,0.48
Angola,0.47
Peru,0.32
Jordan,0.22
Slovak Republic,0.22
Turkey,0.21
Belarus,0.2
Spain,0.16
Czech Republic,0.16
Gabon,0.11
Greece,0.04
Kyrgyzstan,0.03
Bulgaria,0.03
Morocco,0.03
Cuba,0.03
Tajikistan,0.03
Albania,0.02
Senegal,0.02
Israel,0.01
Slovenia,0.01
,1890.31
