United States,399.59
Canada,82.39
Netherlands,49.59
United Kingdom,37.85
Algeria,34.86
Indonesia,32.45
Romania,29.65
Norway,25.87
Saudi Arabia,24.38
Mexico,21.63
Argentina,16.88
Germany,15.1
United Arab Emirates,14.55
Malaysia,14.45
Italy,13.46
Bolivarian Republic of Venezuela,13.22
Australia,13.12
China People's Republic of,11.93
IranIslamic Republic of,9.05
Pakistan,8.89
India,7.66
Brunei Darussalam,7.54
Kuwait,5.59
Qatar,5.41
Egypt,5.17
Hungary,4.9
Thailand,4.68
Iraq,4.57
Trinidad and Tobago,4.52
Libya,4.49
Bahrain,4.05
New Zealand,3.8
Poland,3.74
Bangladesh,3.27
Colombia,3.16
Brazil,2.98
Nigeria,2.97
France,2.7
Plurinational State of Bolivia,2.62
Denmark,2.32
Japan,1.85
Ireland,1.63
Oman,1.29
Chinese Taipei,1.12
Austria,1.08
Chile,0.96
Myanmar,0.92
Spain,0.81
Syrian Arab Republic,0.76
Peru,0.47
Albania,0.34
Tunisia,0.3
Slovak Republic,0.26
Czech Republic,0.22
Angola,0.13
Greece,0.13
Turkey,0.08
Gabon,0.07
Morocco,0.06
Israel,0.03
Viet Nam,0.02
Cuba,0.02
Bulgaria,0.01
Belgium,0.01
Senegal,0.01
Switzerland,0.01
,967.64
