United States,454.56
Netherlands,68.89
Canada,63.62
United Kingdom,31.31
Romania,31.27
Norway,22.77
Mexico,21.55
Germany,16.26
Indonesia,14.96
China People's Republic of,11.96
Algeria,11.48
Bolivarian Republic of Venezuela,11.27
Italy,10.26
Saudi Arabia,9.15
Brunei Darussalam,8.94
Argentina,8.55
Australia,7.46
France,6.33
United Arab Emirates,6.3
Kuwait,5.63
Hungary,5.09
Pakistan,5.02
Poland,4.54
Libya,4.22
Iran Islamic Republic of,3.66
Qatar,2.84
Trinidad and Tobago,2.44
Bahrain,2.43
Colombia,2.39
Malaysia,2.24
Plurinational State of Bolivia,2.14
Japan,1.94
Austria,1.67
Egypt,1.59
Chinese Taipei,1.59
India,1.26
Nigeria,1.24
Iraq,1.05
Bangladesh,1.04
Brazil,0.82
New Zealand,0.79
Ireland,0.74
Chile,0.72
Peru,0.45
Tunisia,0.35
Albania,0.32
Czech Republic,0.32
Oman,0.31
Myanmar,0.29
Slovak Republic,0.17
Bulgaria,0.15
Israel,0.13
Angola,0.06
Morocco,0.06
Syrian Arab Republic,0.04
Belgium,0.03
Gabon,0.01
Cuba,0.01
Ghana,0
,876.68
