United States,408.76
Canada,64.39
Netherlands,58.38
Romania,32.78
United Kingdom,32.05
Algeria,25.49
Indonesia,25.36
Mexico,24.14
Norway,23.58
Germany,17.02
Saudi Arabia,15.75
Bolivarian Republic of Venezuela,13.39
Argentina,11.52
Italy,11.2
China People's Republic of,10.58
Australia,10.53
United Arab Emirates,9.22
Malaysia,8.71
Brunei Darussalam,7.67
Iran Islamic Republic of,7.23
Pakistan,6.08
Hungary,5.42
France,5.3
Qatar,4.8
Kuwait,4.23
Poland,3.99
Libya,3.76
Trinidad and Tobago,3.54
India,3.43
Colombia,3.12
Bahrain,3.02
Egypt,2.99
Nigeria,2.51
Plurinational State of Bolivia,2.47
New Zealand,2.37
Thailand,1.89
Ireland,1.88
Japan,1.88
Bangladesh,1.85
Brazil,1.82
Chinese Taipei,1.19
Austria,1.09
Oman,0.8
Chile,0.79
Myanmar,0.58
Peru,0.51
Iraq,0.48
Tunisia,0.42
Albania,0.32
Denmark,0.26
Czech Republic,0.25
Spain,0.2
Slovak Republic,0.16
Syrian Arab Republic,0.11
Angola,0.1
Greece,0.08
Morocco,0.07
Viet Nam,0.05
Israel,0.04
Bulgaria,0.04
Gabon,0.03
Belgium,0.03
Turkey,0.03
,891.73
