Russian Federation,490.06
United States,440.1
Canada,124.31
Netherlands,59.86
United Kingdom,58.15
Indonesia,57.24
Algeria,40.99
Uzbekistan,38.42
Iran Islamic Republic of,32.13
Turkmenistan,29.24
Norway,27.56
Saudi Arabia,24.87
Mexico,23.97
United Arab Emirates,22.51
Australia,22.48
Malaysia,21.48
Argentina,19.55
Bolivarian Republic of Venezuela,18.88
Italy,16.54
Ukraine,14.83
Romania,14.82
China People's Republic of,14.69
India,14.35
Germany,14.26
Pakistan,12.38
Egypt,9.78
Brunei Darussalam,8.54
Thailand,8.27
Kuwait,7.58
Qatar,7.05
Bahrain,5.36
Libya,5.22
Azerbaijan,5.17
Bangladesh,5.15
Trinidad and Tobago,5.11
Nigeria,4.49
Denmark,4.34
New Zealand,4.05
Oman,3.87
Brazil,3.86
Hungary,3.75
Kazakhstan,3.64
Colombia,3.46
Poland,3.1
Plurinational State of Bolivia,3.06
France,2.94
Iraq,2.59
Ireland,2.19
Japan,2.09
Syrian Arab Republic,1.77
South Africa,1.71
Chile,1.48
Croatia,1.46
Austria,1.16
Myanmar,1.09
Chinese Taipei,0.73
Serbia*,0.65
Angola,0.46
Belarus,0.24
Slovak Republic,0.22
Jordan,0.21
Czech Republic,0.19
Spain,0.18
Peru,0.17
Tunisia,0.17
Turkey,0.16
Gabon,0.09
Bulgaria,0.05
Greece,0.05
Albania,0.04
Tajikistan,0.03
Kyrgyzstan,0.03
Israel,0.02
Cuba,0.02
Viet Nam,0.02
Senegal,0.02
Morocco,0.02
Slovenia,0.01
,1780.78
