Russian Federation,468.63
United States,458.13
Canada,152.25
United Kingdom,95.23
Algeria,65.7
Indonesia,58.99
Netherlands,56.02
Iran Islamic Republic of,52.25
Norway,49.82
Uzbekistan,46.75
Turkmenistan,41.77
Malaysia,41.41
United Arab Emirates,35.82
Argentina,34.22
Mexico,33.28
Saudi Arabia,31.94
Australia,29.11
China People's Republic of,25.37
Qatar,23.31
India,23.21
Bolivarian Republic of Venezuela,20.41
Egypt,18.96
Pakistan,17.42
Germany,15.93
Ukraine,15.38
Thailand,15.19
Oman,13.26
Trinidad and Tobago,13.06
Italy,12.48
Nigeria,12.17
Romania,10.78
Brunei Darussalam,9.56
Bangladesh,8.26
Kuwait,7.76
Denmark,7.59
Bahrain,7.11
Kazakhstan,6.94
Brazil,6.16
Colombia,5.79
New Zealand,5.32
Myanmar,5.24
Libya,5.05
Syrian Arab Republic,4.73
Azerbaijan,4.48
Plurinational State of Bolivia,4.19
Poland,3.49
Hungary,2.48
Japan,2.27
Iraq,2.25
Tunisia,2.14
South Africa,1.82
Chile,1.7
Croatia,1.64
France,1.51
Austria,1.49
Côte d'Ivoire,1.28
Viet Nam,1.12
Chinese Taipei,0.68
Ireland,0.66
Peru,0.51
Cuba,0.47
Spain,0.47
Serbia*,0.45
Angola,0.43
Turkey,0.26
Jordan,0.21
Belarus,0.21
Slovak Republic,0.15
Czech Republic,0.12
Philippines,0.12
Gabon,0.11
Greece,0.04
Tajikistan,0.04
Morocco,0.04
Kyrgyzstan,0.03
Georgia,0.03
Bulgaria,0.02
Albania,0.01
Slovenia,0.01
Israel,0.01
,2104.7
