United States,377.53
Canada,59.26
Netherlands,57.84
Romania,33.02
United Kingdom,32.75
Algeria,25.61
Mexico,24.5
Norway,22.38
Indonesia,17.58
Germany,16.2
Saudi Arabia,14.2
Bolivarian Republic of Venezuela,11.8
Argentina,10.62
Italy,10.59
China People's Republic of,10.23
Australia,10.07
Brunei Darussalam,8.16
United Arab Emirates,7.01
Pakistan,6.42
Iran Islamic Republic of,6.21
Malaysia,5.74
France,5.58
Hungary,5.18
Qatar,4.24
Kuwait,3.91
Poland,3.64
Trinidad and Tobago,3.38
Colombia,3.07
Libya,3.03
Bahrain,2.95
India,2.81
Nigeria,2.6
Plurinational State of Bolivia,2.44
Egypt,2.33
New Zealand,1.86
Japan,1.84
Ireland,1.77
Bangladesh,1.6
Brazil,1.48
Thailand,1.26
Chinese Taipei,1.18
Austria,1.04
Chile,0.79
Oman,0.57
Myanmar,0.43
Tunisia,0.43
Peru,0.41
Iraq,0.38
Albania,0.32
Czech Republic,0.26
Slovak Republic,0.19
Angola,0.09
Gabon,0.08
Greece,0.07
Morocco,0.07
Spain,0.06
Syrian Arab Republic,0.06
Viet Nam,0.06
Turkey,0.06
Israel,0.05
Bulgaria,0.05
Denmark,0.04
Belgium,0.02
Cuba,0.01
,829.41
