1973,792.05
1974,791.24
1975,770.44
1976,787.86
1977,811.29
1978,827.27
1979,876.49
1980,876.68
1981,877.54
1982,850.62
1983,829.41
1984,891.73
1985,892.33
1986,894.91
1987,935.47
1988,967.74
1989,1005.61
1990,1688.08
1991,1722.32
1992,1724.93
1993,1761.71
1994,1780.78
1995,1811.25
1996,1887.45
1997,1890.31
1998,1932.23
1999,1993.05
2000,2064.02
2001,2104.7
2002,2155.95
2003,2240.34
2004,2301.89
2005,2369.31
2006,2444.7
2007,2503.72
2008,2603.24
2009,2525.56
2010,2704.28
2011,2776.63
2012,2826.3
2013,2899.68
2014,2917.02
