United States,450.36
Netherlands,63.95
Canada,61.24
Romania,32.91
United Kingdom,31.24
Mexico,23.14
Norway,23.04
Germany,16.75
Indonesia,15.43
Saudi Arabia,14.38
Algeria,13.67
Italy,11.5
Bolivarian Republic of Venezuela,11.1
China People's Republic of,10.68
Australia,8.73
Argentina,8.54
Brunei Darussalam,7.88
United Arab Emirates,7.43
France,5.95
Pakistan,5.71
Hungary,4.94
Kuwait,4.36
Poland,4.04
Iran Islamic Republic of,3.96
Qatar,3.5
Trinidad and Tobago,2.68
Colombia,2.62
Bahrain,2.59
Libya,2.57
Plurinational State of Bolivia,2.33
Malaysia,1.89
Nigeria,1.86
Japan,1.85
India,1.84
Egypt,1.81
Chinese Taipei,1.35
Austria,1.24
Ireland,1.12
Bangladesh,1.11
New Zealand,0.97
Brazil,0.74
Chile,0.72
Peru,0.53
Iraq,0.51
Tunisia,0.39
Oman,0.39
Myanmar,0.35
Czech Republic,0.34
Albania,0.32
Thailand,0.24
Slovak Republic,0.18
Israel,0.13
Bulgaria,0.12
Angola,0.08
Morocco,0.07
Gabon,0.06
Syrian Arab Republic,0.04
Belgium,0.03
Denmark,0.02
Viet Nam,0.01
Cuba,0.01
Ghana,0
,877.54
