United States,375.78
Canada,65.79
Netherlands,55.95
United Kingdom,37.37
Romania,31.71
Algeria,29.54
Indonesia,27.98
Norway,24.27
Saudi Arabia,21.12
Mexico,21.12
Germany,14.64
Argentina,14
Bolivarian Republic of Venezuela,13.45
Malaysia,12.95
Italy,12.93
United Arab Emirates,12.76
Australia,12.27
China People's Republic of,11.51
Brunei Darussalam,7.26
Iran Islamic Republic of,6.88
Pakistan,6.68
India,5.85
Hungary,5.56
Qatar,5.18
Kuwait,4.68
Libya,4.57
Egypt,4.3
Bahrain,4
Poland,3.75
Trinidad and Tobago,3.71
New Zealand,3.64
France,3.54
Colombia,3.11
Thailand,2.83
Nigeria,2.67
Brazil,2.6
Plurinational State of Bolivia,2.53
Bangladesh,2.37
Japan,1.86
Denmark,1.8
Ireland,1.36
Iraq,1.27
Oman,1.12
Chinese Taipei,0.97
Austria,0.95
Myanmar,0.88
Chile,0.74
Peru,0.52
Tunisia,0.38
Turkey,0.38
Spain,0.33
Syrian Arab Republic,0.33
Albania,0.32
Czech Republic,0.23
Slovak Republic,0.17
Angola,0.11
Greece,0.1
Morocco,0.08
Gabon,0.05
Israel,0.03
Viet Nam,0.03
Belgium,0.02
Switzerland,0.01
Cuba,0.01
Bulgaria,0.01
,894.91
