Russian Federation,499.69
United States,446.88
Canada,151.12
United Kingdom,92.61
Algeria,71.42
Indonesia,68.04
Iran Islamic Republic of,67.27
Norway,66.51
Netherlands,52.2
Turkmenistan,48.17
Uzbekistan,47.28
Malaysia,44.7
Saudi Arabia,38.49
Argentina,37.61
United Arab Emirates,36.51
Mexico,36.12
Australia,29.6
China People's Republic of,29.29
Qatar,27.61
India,25.58
Egypt,23.33
Bolivarian Republic of Venezuela,22.64
Pakistan,22.15
Trinidad and Tobago,22.13
Nigeria,17.99
Thailand,16.94
Ukraine,16.09
Germany,15.92
Oman,15.76
Italy,11.37
Kazakhstan,10.52
Romania,10.43
Brunei Darussalam,10.36
Bangladesh,9.35
Brazil,8.55
Kuwait,8.17
Bahrain,7.53
Denmark,7.2
Myanmar,6.6
Plurinational State of Bolivia,5.99
Syrian Arab Republic,5.55
Colombia,5.54
Libya,5.23
Azerbaijan,4.15
New Zealand,3.86
Poland,3.61
Viet Nam,2.71
Japan,2.6
Hungary,2.29
Philippines,2.21
Tunisia,2.08
Croatia,1.79
Austria,1.79
Chile,1.39
France,1.28
Iraq,1.27
Côte d'Ivoire,1.14
South Africa,1.08
Chinese Taipei,0.67
Peru,0.62
Ireland,0.54
Angola,0.53
Cuba,0.52
Turkey,0.46
Serbia*,0.29
Jordan,0.21
Belarus,0.21
Spain,0.2
Ecuador,0.19
Slovak Republic,0.17
Czech Republic,0.13
Gabon,0.12
Morocco,0.04
Greece,0.03
Tajikistan,0.03
Kyrgyzstan,0.02
Georgia,0.02
Israel,0.01
Republic of the Congo,0.01
Senegal,0.01
Bulgaria,0.01
Albania,0.01
,2240.34
