Russian Federation,477.02
United States,442.33
Canada,141.93
United Kingdom,81.14
Indonesia,61.17
Algeria,60.97
Netherlands,58.18
Uzbekistan,44.61
 Islamic Republic of,41.52
Norway,41.34
Malaysia,35.33
United Arab Emirates,30.63
Mexico,30.03
Saudi Arabia,27.92
Argentina,26.95
Australia,26.55
Bolivarian Republic of Venezuela,23.88
India,21.28
 People's Republic of,19.48
Germany,15.67
Italy,15.56
Ukraine,15.07
Pakistan,14.19
Thailand,13.64
Qatar,12.63
Egypt,11.22
Romania,11.15
Turkmenistan,10.74
Brunei Darussalam,8.7
Kuwait,7.75
Trinidad and Tobago,7.09
Denmark,6.83
Bahrain,6.54
Kazakhstan,6.44
Bangladesh,6.26
Colombia,5.58
Brazil,5.41
Libya,5.19
Oman,5.08
Nigeria,4.82
Syrian Arab Republic,4.66
Azerbaijan,4.53
New Zealand,4.16
Poland,3.25
Hungary,2.96
Plurinational State of Bolivia,2.45
Iraq,2.41
Myanmar,2.33
Japan,2.11
France,1.84
Tunisia,1.8
Ireland,1.41
Austria,1.35
Croatia,1.28
Chile,1.26
South Africa,1.16
Viet Nam,0.83
Côte d'Ivoire,0.76
Chinese Taipei,0.7
Serbia*,0.55
Angola,0.47
Turkey,0.47
Peru,0.37
Jordan,0.23
Belarus,0.21
Slovak Republic,0.2
Czech Republic,0.17
Spain,0.1
Gabon,0.1
Cuba,0.1
Greece,0.04
Morocco,0.03
Bulgaria,0.02
Tajikistan,0.02
Senegal,0.02
Kyrgyzstan,0.02
Albania,0.01
Israel,0.01
Slovenia,0.01
Philippines,0.01
,1932.23
