Russian Federation,470.6
United States,446.82
Canada,148.32
United Kingdom,97.53
Algeria,69.83
Indonesia,61.15
Netherlands,52.17
Iran Islamic Republic of,49.84
Norway,46.27
Uzbekistan,45.92
Malaysia,42.55
Turkmenistan,38.2
Argentina,34.31
Mexico,33.38
United Arab Emirates,30.87
Saudi Arabia,30.77
Australia,28.53
India,23.06
China People's Republic of,22.76
Bolivarian Republic of Venezuela,21.85
Qatar,21.78
Pakistan,16.66
Germany,15.8
Thailand,15.63
Ukraine,15
Egypt,14.43
Italy,13.62
Trinidad and Tobago,12.19
Romania,10.96
Nigeria,10.18
Brunei Darussalam,9.46
Oman,9.06
Kuwait,7.84
Kazakhstan,7.62
Denmark,7.41
Bangladesh,7.38
Bahrain,6.84
Brazil,6.07
Colombia,5.46
Myanmar,5.17
New Zealand,5.05
Libya,4.8
Syrian Arab Republic,4.62
Azerbaijan,4.57
Plurinational State of Bolivia,4.02
Poland,3.31
Iraq,2.57
Hungary,2.47
Japan,2.29
Tunisia,1.89
Chile,1.6
Austria,1.55
France,1.5
South Africa,1.4
Croatia,1.35
Côte d'Ivoire,1.27
Viet Nam,1.12
Ireland,0.96
Serbia*,0.62
Chinese Taipei,0.6
Turkey,0.53
Peru,0.49
Angola,0.47
Cuba,0.46
Jordan,0.21
Belarus,0.21
Czech Republic,0.17
Spain,0.15
Slovak Republic,0.13
Gabon,0.1
Georgia,0.06
Greece,0.04
Morocco,0.04
Kyrgyzstan,0.03
Tajikistan,0.03
Albania,0.01
Slovenia,0.01
Philippines,0.01
Bulgaria,0.01
Israel,0.01
,2064.02
