United States,454.79
Netherlands,70.77
Canada,66.97
United Kingdom,32.94
Romania,30.28
Norway,19.2
Germany,18.4
Mexico,17.86
Algeria,15.87
Indonesia,12.57
China People's Republic of,12.13
Italy,11.03
Bolivarian Republic of Venezuela,10.95
Argentina,7.49
Brunei Darussalam,7.05
Kuwait,7.03
Australia,6.95
Iran Islamic Republic of,6.84
France,6.51
Saudi Arabia,5.68
Poland,5.35
Hungary,5.32
United Arab Emirates,5.12
Pakistan,4.39
Libya,4.32
Malaysia,2.52
Qatar,2.38
Bahrain,2.38
Colombia,2.24
Trinidad and Tobago,2.16
Japan,2.13
Austria,2.03
Plurinational State of Bolivia,2
Iraq,1.82
Chinese Taipei,1.53
India,1.39
Nigeria,0.97
New Zealand,0.86
Egypt,0.85
Bangladesh,0.84
Chile,0.79
Brazil,0.71
Czech Republic,0.49
Ireland,0.46
Peru,0.4
Tunisia,0.33
Albania,0.31
Oman,0.25
Slovak Republic,0.24
Myanmar,0.23
Bulgaria,0.1
Israel,0.06
Morocco,0.06
Angola,0.06
Belgium,0.03
Syrian Arab Republic,0.03
Gabon,0.02
Cuba,0.01
Ghana,0
,876.49
