United States,388.17
Canada,71.42
Netherlands,56.11
United Kingdom,39.31
Algeria,33.34
Romania,30.14
Indonesia,29.34
Norway,25.64
Saudi Arabia,22.47
Mexico,21.41
Germany,16.3
Argentina,14.28
United Arab Emirates,14.16
Malaysia,14
Bolivarian Republic of Venezuela,13.53
Italy,13.25
Australia,12.66
China People's Republic of,11.62
Iran Islamic Republic of,8.69
Pakistan,8.63
Brunei Darussalam,7.66
India,6.6
Hungary,5.48
Qatar,5.24
Egypt,4.78
Libya,4.08
Thailand,3.95
Trinidad and Tobago,3.93
Kuwait,3.9
Bahrain,3.82
Poland,3.77
New Zealand,3.51
France,3.28
Colombia,3.27
Iraq,3.06
Nigeria,3
Bangladesh,2.78
Brazil,2.75
Plurinational State of Bolivia,2.51
Denmark,2.31
Japan,1.91
Ireland,1.35
Oman,1.23
Austria,0.99
Chinese Taipei,0.98
Myanmar,0.91
Chile,0.72
Spain,0.64
Peru,0.49
Syrian Arab Republic,0.32
Tunisia,0.32
Albania,0.32
Czech Republic,0.24
Turkey,0.24
Slovak Republic,0.19
Angola,0.13
Greece,0.11
Morocco,0.06
Gabon,0.05
Israel,0.03
Viet Nam,0.03
Cuba,0.02
Belgium,0.02
Switzerland,0.01
Bulgaria,0.01
Ghana,0
,935.47
