United States,407.17
Canada,85.68
Netherlands,54.2
Algeria,37.59
United Kingdom,37.05
Indonesia,34.54
Norway,26.71
Romania,26.63
Saudi Arabia,24.93
Mexico,20.62
Argentina,17.97
United Arab Emirates,17.08
Malaysia,15.64
Bolivarian Republic of Venezuela,14.62
Germany,14.45
Italy,13.76
Australia,13.49
Iran Islamic Republic of,13.04
China People's Republic of,12.59
Pakistan,10.11
India,9.25
Brunei Darussalam,7.66
Kuwait,6.66
Egypt,6.49
Qatar,5.66
Libya,5.55
Iraq,5.27
Hungary,4.72
Thailand,4.64
Trinidad and Tobago,4.53
Bahrain,4.23
New Zealand,3.91
Nigeria,3.47
Poland,3.46
Bangladesh,3.46
Colombia,3.19
Brazil,3.19
Plurinational State of Bolivia,2.72
Denmark,2.71
France,2.61
Ireland,1.84
Japan,1.77
Chile,1.42
Spain,1.42
Oman,1.33
Syrian Arab Republic,1.24
Austria,1.13
Chinese Taipei,1.13
Myanmar,0.89
Peru,0.41
Slovak Republic,0.31
Tunisia,0.3
Albania,0.28
Czech Republic,0.2
Turkey,0.14
Angola,0.14
Greece,0.14
Gabon,0.07
Jordan,0.05
Morocco,0.05
Israel,0.03
Cuba,0.03
Belgium,0.01
Bulgaria,0.01
Senegal,0.01
Viet Nam,0.01
,1005.61
