1973,700.85
1974,724.24
1975,737.32
1976,751.36
1977,768.34
1978,793.24
1979,818.3
1980,835.32
1981,852.34
1982,873.73
1983,899.25
1984,928.51
1985,945.92
1986,960.52
1987,984.4
1988,999.99
1989,1018.67
1990,1078.53
1991,1097.77
1992,1114.92
1993,1128.01
1994,1140.51
1995,1164.95
1996,1183.75
1997,1196.64
1998,1208.27
1999,1225.1
2000,1244.52
2001,1242.92
2002,1264.65
2003,1297.5
2004,1340.72
2005,1380.68
2006,1418.55
2007,1463.17
2008,1509.42
2009,1539.55
2010,1611.07
2011,1646.29
2012,1717.05
2013,1783.01
2014,1830.63
