China People's Republic of,309.61
India,199.95
United States,139.3
Brazil,116.28
Nigeria,108.45
Indonesia,75.34
Canada,47.74
Ethiopia,43.12
Pakistan,33.36
Germany,32.08
Democratic Republic of Congo,25.35
Thailand,24.31
Italy,21.09
France,20.33
Tanzania United Republic of,19.72
Viet Nam,19.57
Sweden,18.52
Japan,18.46
Russian Federation,18.13
Philippines,17.36
Kenya,16.74
South Africa,15.5
Spain,14.65
Mexico,14.55
Norway,13.74
Turkey,12.1
Myanmar,11.44
Chile,11.17
Finland,9.97
Mozambique,9.81
Sudan*,9.62
Côte d'Ivoire,9.57
Austria,9.35
Bangladesh,9.07
Nepal,8.5
Poland,8.48
Zambia,8.43
Argentina,8.06
Bolivarian Republic of Venezuela,7.8
Colombia,7.77
Guatemala,7.65
United Kingdom,7.56
Paraguay,7.53
Zimbabwe,7.41
New Zealand,7.22
Angola,7.21
Australia,7.03
Sri Lanka,5.93
Switzerland,5.28
Romania,5.24
Iceland,5.07
Cameroon,5.02
Portugal,4.56
Peru,4.53
Ghana,4.1
Cambodia,3.93
Netherlands,3.92
Haiti,3.34
Czech Republic,3.25
Egypt,3
Denmark,2.97
Belgium,2.82
Malaysia,2.69
Ukraine,2.69
Gabon,2.5
Togo,2.5
Honduras,2.48
Costa Rica,2.46
Latvia,2.33
Korea,2.28
Greece,2.27
Korea Dem. People's Rep. of,2.25
El Salvador,2.17
Benin,2.17
Senegal,2.15
Hungary,1.96
Croatia,1.94
Uruguay,1.87
Nicaragua,1.86
Serbia*,1.86
Chinese Taipei,1.75
Ecuador,1.69
Bulgaria,1.64
Morocco,1.62
Belarus,1.59
Islamic Republic of,1.59
Niger,1.55
Cuba,1.5
Republic of the Congo,1.5
Tajikistan,1.45
Slovak Republic,1.43
Kyrgyzstan,1.22
Lithuania,1.2
Israel,1.16
Plurinational State of Bolivia,1.16
Tunisia,1.13
Estonia,1.06
Dominican Republic,1.03
Slovenia,1.03
Uzbekistan,0.97
Georgia,0.94
Panama,0.79
Ireland,0.73
Kazakhstan,0.72
Albania,0.62
Eritrea,0.61
Bosnia and Herzegovina,0.54
Botswana,0.52
Jamaica,0.5
Namibia,0.45
Iraq,0.42
Montenegro,0.32
Singapore,0.31
Macedoniaformer Yugoslav Republic of,0.28
Syrian Arab Republic,0.28
Moldova,0.25
Kosovo,0.25
Azerbaijan,0.25
Lebanon,0.23
Armenia,0.21
South-Sudan,0.19
Mongolia,0.18
Jordan,0.15
Libya,0.15
Cyprus*,0.11
Yemen,0.11
Hong Kong (China),0.1
Luxembourg,0.09
Algeria,0.07
Malta,0.01
Trinidad and Tobago,0.01
,1717.05
