China People's Republic of,325.52
India,205.4
United States,147.37
Brazil,117.45
Nigeria,109.04
Indonesia,77.06
Canada,50.05
Ethiopia,44.32
Pakistan,34.23
Germany,33.68
Democratic Republic of Congo,26.29
Thailand,25.24
Italy,23.5
France,22.63
Tanzania United Republic of,20.44
Japan,19.93
Viet Nam,19.65
Russian Federation,18.72
Spain,17.56
Kenya,17.46
Philippines,17.09
Sweden,16.77
South Africa,15.77
Mexico,15
Turkey,12.73
Norway,12.5
Chile,12.01
Myanmar,11.62
Mozambique,10
Côte d'Ivoire,9.99
Sudan*,9.96
Finland,9.93
Nepal,9.58
Austria,9.42
Bangladesh,9.21
United Kingdom,8.84
Zambia,8.74
Poland,8.51
Guatemala,8.14
Colombia,7.94
Bolivarian Republic of Venezuela,7.93
Argentina,7.91
Australia,7.86
Zimbabwe,7.55
New Zealand,7.55
Paraguay,7.45
Angola,7.43
Portugal,5.63
Romania,5.56
Sri Lanka,5.43
Switzerland,5.37
Iceland,5.27
Cameroon,5.14
Peru,4.56
Netherlands,4.37
Ghana,4.26
Gabon,4.09
Cambodia,4.08
Czech Republic,3.64
Ukraine,3.49
Haiti,3.33
Malaysia,3.15
Denmark,3.08
Egypt,2.94
Belgium,2.91
Korea,2.65
Togo,2.57
Honduras,2.52
Greece,2.49
Costa Rica,2.47
Croatia,2.31
Korea Dem. People's Rep. of,2.29
Benin,2.23
Uruguay,2.18
Latvia,2.14
Nicaragua,2.12
El Salvador,2.06
Hungary,2.05
Niger,2.05
Serbia*,2
Bulgaria,1.82
Iran Islamic Republic of,1.79
Senegal,1.76
Morocco,1.74
Chinese Taipei,1.74
Ecuador,1.7
Belarus,1.55
Republic of the Congo,1.53
Slovak Republic,1.47
Tajikistan,1.47
Cuba,1.44
Lithuania,1.29
Plurinational State of Bolivia,1.22
Georgia,1.21
Israel,1.16
Tunisia,1.15
Kyrgyzstan,1.13
Estonia,1.12
Slovenia,1.12
Dominican Republic,1.02
Uzbekistan,1
Albania,0.81
Bosnia and Herzegovina,0.8
Panama,0.8
Ireland,0.76
Kazakhstan,0.73
Eritrea,0.62
Botswana,0.53
Jamaica,0.5
Iraq,0.45
Namibia,0.43
Montenegro,0.39
Singapore,0.32
Macedonia former Yugoslav Republic of,0.31
Moldova,0.3
Azerbaijan,0.26
Syrian Arab Republic,0.26
Kosovo,0.26
Lebanon,0.25
Armenia,0.2
South-Sudan,0.19
Mongolia,0.19
Jordan,0.15
Libya,0.15
Cyprus*,0.11
Yemen,0.11
Hong Kong (China),0.11
Luxembourg,0.1
Algeria,0.05
United Arab Emirates,0.02
Trinidad and Tobago,0.01
Malta,0.01
,1783.01
